"","S1","S2","S3","S4","S5","S6"
"HS_GT_11622",7.37827576006555,5.29694824353841,8.8252883167121,11.5227899579298,8.13903975895083,3.50113505680575
"HS_GT_12572",8.51346734589698,4.69975074660987,9.68055119136371,8.35257301357077,8.29562302509863,2.82457076608257
"HS_GT_5063",6.58323538917879,9.54047421691855,4.15338083885262,8.98983957774003,1.65160950055719,7.29590476688945
"HS_GT_11044",11.5469779921779,10.852197350311,9.46488425947844,2.52261354247384,6.66319518687641,3.66080122735015
"HS_GT_10733",7.76288994614971,7.19407451284467,6.9111860456462,3.05676101524447,4.47534997664577,5.51330408991823
"HS_GT_10154",7.57363762689311,11.6857118195859,9.73787095103462,2.95526234128372,5.23559908742159,8.75124197761698
"HS_GT_11342",11.092863751857,8.50297716016522,11.4844934540165,2.8460971524073,8.83195355473155,7.70200300827132
"HS_GT_3105",11.6673362444247,2.07733337131258,5.52245522011001,12.4925193140762,4.90340188755719,7.31507257059441
"HS_GT_5068",6.21718286937182,13.7670736859319,9.35882466687719,12.1409729703125,8.84445379427867,5.09560846298654
"HS_GT_14326",9.19675180702052,12.1542240415332,5.49550747238862,5.16895790950676,7.01015448174355,8.39104231166101
"HS_GT_14695",8.52148637337302,10.9599695005046,10.7567566980438,5.96668776519753,6.16081794038043,9.47540003526264
"HS_GT_13768",11.1422147623986,9.2610022614633,8.82148548486865,11.4187214843619,7.73869283075819,8.85868331291746
"HS_GT_4261",12.2762599161081,7.30288967165992,12.0640386476289,9.13495605232581,2.28614566383504,13.840353101092
"HS_GT_7556",7.32844689728211,8.89419658283437,10.6760099629943,8.04854136450983,2.3650340247821,4.31896140510647
"HS_GT_6542",7.58818925867936,6.41230260302733,0.710175095622884,6.37138196414392,3.69803354665306,11.1632875763326
"HS_GT_11350",8.84412991191833,9.01101086032889,8.27228245740268,12.9531020559428,1.06095904690532,7.03871217955861
"HS_GT_10098",8.09091962975752,5.92691504299972,6.48987630560022,3.75946575120017,9.38754563025714,11.9625272022748
"HS_GT_13167",10.4975323687084,3.52584297987223,9.27659145537323,10.2337862440203,9.93696586493698,7.05227424695498
"HS_GT_13961",9.88264929138333,2.67754893654492,10.8089269248281,10.6487076086722,7.89254390416651,11.5537259078235
"HS_GT_10850",12.3508900914804,2.86978678107573,8.95043472952302,8.87919205867375,8.44469436724747,10.9466050666205
"HS_GT_540",9.43549086526567,10.0923960981637,7.18516729315457,6.13624683154334,4.67370097820148,11.1119560792081
"HS_GT_6363",8.81953065138025,6.96437282513722,2.12801546482667,6.78510901907477,9.93948752457966,7.49548836695006
"HS_GT_2794",8.27237290676142,8.6802678364774,7.53277541284089,11.5301447241964,7.15689500003815,3.98241448426798
"HS_GT_10502",8.20527380292827,11.0700141098834,7.03660605716827,9.4136896605003,12.5461502231183,1.534023426997
"HS_GT_5446",8.0025943726426,9.24310823292524,8.29304582088555,7.17539792565678,4.75859510701902,9.0305954748312
"HS_GT_11893",3.40921373196765,12.7222939430884,8.5807440461631,11.4335503824136,2.36862680825925,5.39806225534951
"HS_GT_6625",8.61312433354098,8.46851091362876,3.7119570357361,6.60242195117969,7.78993018044669,12.7588871789933
"HS_GT_15199",12.1677719947451,5.17991354926891,13.5716707840327,9.8551334989191,4.42236558171169,7.61424049210182
"HS_GT_14719",4.88193357553429,12.610109128041,3.44637974336399,0.817731401921867,0.15692140183242,14.4292161453699
"HS_GT_7254",10.8025020989992,9.88292739836073,10.1898508726748,6.23272514227609,8.01281819656206,11.5631665077634
"HS_GT_14022",5.60666021988454,7.01822662732225,8.35934484702886,7.77303427519064,8.4252056691717,6.49513456077174
"HS_GT_13971",9.84688445191505,9.27728759777377,5.82164287528659,4.49878152966107,11.3022776952943,12.4125542211795
"HS_GT_1208",11.367887658688,7.02171002045736,4.1770526006113,7.1100773945966,5.5827859769885,12.7633849426944
"HS_GT_14301",7.68879139713773,9.61966256749249,4.93856557568922,5.45036110035217,8.58850426572912,9.99198935503469
